row.names,Length,Diameter,Height,Whole.wt,Shucked.wt,Viscera.wt,Shell.wt,Rings
1942,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
503,0.62,0.47,0.225,1.115,0.378,0.2145,0.36,15
312,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
655,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10
1004,0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
2522,0.54,0.42,0.12,0.8115,0.392,0.1455,0.2235,9
1558,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
2622,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
3122,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
607,0.345,0.27,0.09,0.195,0.078,0.0455,0.059,9
205,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8
3065,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9
30,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,11
2652,0.51,0.385,0.15,0.625,0.3095,0.119,0.1725,8
1474,0.55,0.43,0.14,0.84,0.375,0.218,0.1945,8
3043,0.575,0.43,0.13,0.7425,0.2895,0.2005,0.22,8
2108,0.675,0.55,0.18,1.6885,0.562,0.3705,0.6,15
2850,0.63,0.49,0.165,1.2005,0.575,0.273,0.294,10
343,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
1850,0.485,0.385,0.13,0.568,0.2505,0.178,0.154,7
1593,0.525,0.39,0.12,0.664,0.3115,0.147,0.178,9
1555,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
660,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11
617,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12
685,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10
3123,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315,8
2904,0.575,0.425,0.15,0.8765,0.455,0.18,0.228,8
2762,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
2535,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
2270,0.57,0.45,0.16,0.8615,0.3725,0.2175,0.255,12
649,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11
521,0.21,0.15,0.05,0.0385,0.0155,0.0085,0.01,3
1042,0.675,0.57,0.225,1.587,0.739,0.2995,0.435,10
1611,0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
426,0.58,0.45,0.175,1.068,0.425,0.203,0.32,13
2393,0.33,0.25,0.09,0.197,0.085,0.041,0.0605,10
1184,0.665,0.525,0.16,1.363,0.629,0.279,0.34,8
963,0.505,0.39,0.15,0.685,0.362,0.131,0.156,8
1872,0.53,0.43,0.16,0.7245,0.321,0.1275,0.24,9
717,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8
1573,0.48,0.37,0.125,0.474,0.179,0.1035,0.175,9
1359,0.605,0.485,0.15,1.238,0.6315,0.226,0.33,11
196,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,12
1258,0.43,0.34,0,0.428,0.2065,0.086,0.115,8
891,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
1121,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7
